Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Chart_1, 1,1,1,1,1,1,1,1,2874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,2591,1,1,1,1,1,1,1,1,1,
Chart_2, 55,27,27,21,27,27,101,55,5007,27,-,55,101,101,50,27,27,55,101,55,-,55,55,9125,55,27,26,27,21,101,26,50,55,3699,101,101,27,21,55,-,-,55,27,
Chart_3, 1,1,1,1,1,1,81,1,5482,1,-,1,81,81,1,1,1,1,81,1,1,1,1,1749,1,1,1,1,1,81,1,1,1,3464,81,81,1,1,1,-,-,1,1,
Chart_4, 1,1,1,1,1,1,1,1,830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17150,1,1,1,130,1,1,1,1,1,820,1,1,1,1,1,1,1,1,1,
Chart_5, 1,1,1,1,1,1,1,1,5385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3067,1,1,1,1,1,1,1,1,1,3020,1,1,1,1,1,-,-,1,1,
Chart_6, 5,81,68,81,81,81,21902,5,67,49,-,5,21902,21902,17,81,81,15,21902,5,15,5,5,-,5,49,81,49,81,21902,21727,17,5,67,21902,21902,81,81,5,-,-,15,49,
Chart_7, 2,2,2,2,2,2,10495,2,4681,2,-,2,10495,10495,2,2,2,2,10495,2,2,2,2,-,2,2,2,2,2,10495,2,2,2,3720,10495,10495,2,2,2,-,-,2,2,
Chart_8, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_9, 1,1,1,1,1,1,1,1,4925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1473,1,1,1,1,1,1,1,1,1,2649,1,1,1,1,1,-,-,1,1,
Chart_10, 1,1,1,1,1,1,1,1,4906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,2464,1,1,1,1,1,1,1,1,1,
Chart_11, 1,1,1,1,1,1,16572,1,4420,1,-,1,16572,16572,1,1,1,1,16572,1,1,1,1,-,1,1,1,1,1,16572,1,1,1,3952,16572,16572,1,1,1,-,-,1,1,
Chart_12, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_13, 1,1,1,1,1,1,1,1,4908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,2468,1,1,1,1,1,1,1,1,1,
Chart_14, 120,1,1,1,1,1,1,110,4495,1,-,110,1,1,1,1,1,1,1,110,1,22,110,-,110,1,1,1,1,1,1,1,110,3014,1,1,1,1,110,1,1,1,1,
Chart_15, 26,26,26,26,26,26,126,26,4891,26,-,26,126,126,26,26,26,26,126,26,26,26,26,7949,26,26,26,26,26,126,26,26,26,3464,126,126,26,26,26,-,-,26,26,
Chart_16, 78,12,12,2,12,12,2,12,3863,7,-,12,2,2,7,12,12,7,2,12,7,12,12,-,12,8,7,8,2,2,12,7,12,3171,2,2,12,2,12,2,7,7,8,
