Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula;;Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula
Chart_1;194;249;32;450;28;733;194;;Chart_26;17108;-;-;-;15053;-;15053
Chart_2;353;353;348;354;376;353;353;;Math_106;9;9;9;9;9;9;9
Chart_3;4;4;4;4;4;4;4;;Closure_133;130;130;130;130;130;130;130
Chart_4;696;167;179;55;173;9;696;;Lang_65;8;8;8;8;8;8;8
Chart_5;11;72;72;60;72;72;11;;Mockito_38;44;3;44;1;3;1;44
Chart_6;231;189;216;339;224;96;231;;Time_27;121;121;121;121;121;121;121
Chart_7;75;75;75;75;75;75;75;;Top-1;;;;1;;1;
Chart_8;1;1;1;1;1;1;1;;Top-10;2;2;2;3;3;3;2
Chart_9;14;14;14;14;14;14;14;;Top-50;;;;;;;
Chart_10;3;3;3;6;3;3;6;;Top-100;;;;;;;
Chart_11;5;29;5;24;28;29;5;;Top-200;;;;;;;
Chart_12;752;1101;1101;941;1093;1101;752;;Any;;;;;;;
Chart_13;51;51;51;51;51;51;51;;;;;;;;;
Chart_14;79;1565;1557;1232;998;1565;79;;;;;;;;;
Chart_15;9310;-;-;-;8445;-;8445;;;;;;;;;
Chart_16;5;1;1;1;1;29;5;;;;;;;;;
Chart_17;12;14;12;12;12;16;12;;;;;;;;;
Chart_18;3;3;3;3;3;3;3;;;;;;;;;
Chart_19;59;1251;1244;966;833;1251;59;;;;;;;;;
Chart_20;59;50;52;58;62;65;59;;;;;;;;;
Chart_21;2;39;43;16;39;30;2;;;;;;;;;
Chart_22;25;68;59;15;58;68;25;;;;;;;;;
Chart_23; -;-;-;-;-;-;-;;;;;;;;;
Chart_24;3;3;3;3;3;3;3;;;;;;;;;
Chart_25;4073;-;-;-;3913;-;3913;;;;;;;;;
Chart_26;17108;-;-;-;15053;-;15053;;;;;;;;;
Lang_1;3;3;3;3;3;3;3;;;;;;;;;
Lang_2;17;17;17;17;17;17;17;;;;;;;;;
Lang_3;3;3;3;3;3;3;3;;;;;;;;;
Lang_4;7;7;7;7;7;7;7;;;;;;;;;
Lang_5;1;1;1;1;1;1;1;;;;;;;;;
Lang_6;74;74;74;74;74;74;74;;;;;;;;;
Lang_7;25;25;25;25;25;25;25;;;;;;;;;
Lang_8; -;-;-;-;-;-;-;;;;;;;;;
Lang_9;72;71;72;72;71;57;72;;;;;;;;;
Lang_10;78;64;67;60;64;60;78;;;;;;;;;
Lang_11;4;4;4;4;4;4;4;;;;;;;;;
Lang_12;5;4;5;5;5;4;5;;;;;;;;;
Lang_13; -;-;-;-;-;-;-;;;;;;;;;
Lang_14;4;4;4;4;4;4;4;;;;;;;;;
Lang_15;198;12;172;12;172;12;198;;;;;;;;;
Lang_16;27;27;27;27;27;27;27;;;;;;;;;
Lang_17;24;24;24;24;24;24;24;;;;;;;;;
Lang_18;41;41;41;41;41;41;41;;;;;;;;;
Lang_19;10;10;10;8;10;8;10;;;;;;;;;
Lang_20;8;8;8;8;8;8;8;;;;;;;;;
Lang_21;2;2;2;2;2;2;2;;;;;;;;;
Lang_22;34;26;31;14;26;14;34;;;;;;;;;
Lang_23; -;-;-;-;-;-;-;;;;;;;;;
Lang_24;64;64;64;64;64;64;64;;;;;;;;;
Lang_25; -;-;-;-;-;-;-;;;;;;;;;
Lang_26;112;112;112;112;112;112;112;;;;;;;;;
Lang_27;56;56;56;56;56;56;56;;;;;;;;;
Lang_28;5;5;5;5;5;5;5;;;;;;;;;
Lang_29; -;-;-;-;-;-;-;;;;;;;;;
Lang_30;10;8;8;10;8;11;10;;;;;;;;;
Lang_31;10;8;8;8;8;8;10;;;;;;;;;
Lang_32;14;14;14;14;14;14;14;;;;;;;;;
Lang_33;7;7;7;7;7;7;7;;;;;;;;;
Lang_34;144;53;61;61;61;5;144;;;;;;;;;
Lang_35;2;2;2;2;2;2;2;;;;;;;;;
Lang_36;98;42;42;42;42;42;98;;;;;;;;;
Lang_37;6;6;6;6;6;6;6;;;;;;;;;
Lang_38;3;3;3;3;3;3;3;;;;;;;;;
Lang_39;27;27;27;27;27;27;27;;;;;;;;;
Lang_40;2;2;2;2;2;2;2;;;;;;;;;
Lang_41;6;6;6;6;6;6;6;;;;;;;;;
Lang_42;13;13;13;13;13;13;13;;;;;;;;;
Lang_43;8;31;29;9;29;31;8;;;;;;;;;
Lang_44;3;3;3;3;3;3;3;;;;;;;;;
Lang_45;5;5;5;5;5;5;5;;;;;;;;;
Lang_46;1;1;1;1;1;1;1;;;;;;;;;
Lang_47;5;5;5;5;5;13;5;;;;;;;;;
Lang_48;2;2;2;2;2;2;2;;;;;;;;;
Lang_49;1;1;1;1;1;1;1;;;;;;;;;
Lang_50;2;22;8;33;8;128;2;;;;;;;;;
Lang_51; -;-;-;-;-;-;-;;;;;;;;;
Lang_52;25;25;25;25;25;25;25;;;;;;;;;
Lang_53;16;16;16;16;16;16;16;;;;;;;;;
Lang_54;4;4;4;4;4;4;4;;;;;;;;;
Lang_55;7;7;7;7;7;7;7;;;;;;;;;
Lang_56; -;-;-;-;-;-;-;;;;;;;;;
Lang_57;1;1;1;43;1;1;43;;;;;;;;;
Lang_58;20;20;20;20;20;20;20;;;;;;;;;
Lang_59;6;6;6;6;6;6;6;;;;;;;;;
Lang_60;2;2;2;2;2;2;2;;;;;;;;;
Lang_61;21;8;21;8;21;8;21;;;;;;;;;
Lang_62;7;7;7;7;7;7;7;;;;;;;;;
Lang_63;1;1;1;1;1;1;1;;;;;;;;;
Lang_64;4;4;4;4;4;4;4;;;;;;;;;
Lang_65;8;8;8;8;8;8;8;;;;;;;;;
Math_1;9;14;11;29;14;29;9;;;;;;;;;
Math_2;44;44;44;44;44;44;44;;;;;;;;;
Math_3;3;3;3;3;3;3;3;;;;;;;;;
Math_4;6;6;6;6;6;47;6;;;;;;;;;
Math_5;1;1;1;1;1;1;1;;;;;;;;;
Math_6;238;71;177;82;177;58;238;;;;;;;;;
Math_7;42;42;42;42;42;42;42;;;;;;;;;
Math_8;4;4;4;4;4;4;4;;;;;;;;;
Math_9;1;1;1;1;1;1;1;;;;;;;;;
Math_10;17;17;17;17;17;17;17;;;;;;;;;
Math_11;29;29;29;29;29;29;29;;;;;;;;;
Math_12; -;-;-;-;-;-;-;;;;;;;;;
Math_13;140;140;140;140;140;140;140;;;;;;;;;
Math_14;95;95;95;95;95;95;95;;;;;;;;;
Math_15;42;42;42;42;42;42;42;;;;;;;;;
Math_16;1;9;1;252;5;252;1;;;;;;;;;
Math_17;89;89;89;89;89;89;89;;;;;;;;;
Math_18; -;-;-;-;-;-;-;;;;;;;;;
Math_19;935;-;-;269;-;313;-;;;;;;;;;
Math_20; -;-;-;-;-;-;-;;;;;;;;;
Math_21;57;48;48;48;48;48;57;;;;;;;;;
Math_22;1;1;1;1;1;53;1;;;;;;;;;
Math_23;146;146;146;146;146;146;146;;;;;;;;;
Math_24;148;148;148;148;148;148;148;;;;;;;;;
Math_25; -;-;-;-;-;-;-;;;;;;;;;
Math_26;38;38;38;38;38;38;38;;;;;;;;;
Math_27;1;1;1;1;1;1;1;;;;;;;;;
Math_28;13;13;13;13;13;13;13;;;;;;;;;
Math_29;6;6;6;86;6;182;6;;;;;;;;;
Math_30;161;161;161;161;161;161;161;;;;;;;;;
Math_31;251;103;251;29;103;29;251;;;;;;;;;
Math_32;6;6;6;6;6;6;6;;;;;;;;;
Math_33;44;44;44;44;44;44;44;;;;;;;;;
Math_34;3;3;3;3;3;3;3;;;;;;;;;
Math_35;4;5;5;4;5;5;4;;;;;;;;;
Math_36;2;2;2;2;2;15;2;;;;;;;;;
Math_37;4;13;6;201;6;209;4;;;;;;;;;
Math_38;5;5;5;5;5;5;5;;;;;;;;;
Math_39;119;119;119;119;119;119;119;;;;;;;;;
Math_40;34;34;34;34;34;34;34;;;;;;;;;
Math_41;49;49;49;49;49;49;49;;;;;;;;;
Math_42;66;66;66;66;66;66;66;;;;;;;;;
Math_43;93;60;77;54;67;52;93;;;;;;;;;
Math_44;14;14;14;14;14;14;14;;;;;;;;;
Math_45;2;2;2;2;2;2;2;;;;;;;;;
Math_46;2;1;1;1;1;1;2;;;;;;;;;
Math_47;2;2;2;2;2;2;2;;;;;;;;;
Math_48;303;303;303;303;303;303;303;;;;;;;;;
Math_49;7;7;7;7;7;7;7;;;;;;;;;
Math_50;1;1;1;1;1;1;1;;;;;;;;;
Math_51;278;278;278;278;278;278;278;;;;;;;;;
Math_52;23;23;23;23;23;23;23;;;;;;;;;
Math_53;2;2;2;2;2;2;2;;;;;;;;;
Math_54;136;136;136;136;136;136;136;;;;;;;;;
