Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Chart_1, 1,1,1,1,1,1,1,1,813,1,1,1,1,1,1,1,1,1,1,1,1,1,1,825,1,1,1,1,1,1,1,1,1,813,1,1,1,1,1,1,1,1,1,
Chart_2, 55,27,27,21,27,27,101,55,1236,27,-,55,101,101,50,27,27,55,101,55,-,55,55,631,55,27,26,27,21,101,26,50,55,1236,101,101,27,21,55,-,-,55,27,
Chart_3, 1,1,1,1,1,1,5,1,2789,1,-,1,5,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,2789,5,5,1,1,1,-,-,1,1,
Chart_4, 1,1,1,1,1,1,1,1,626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,1,1,1,130,1,1,1,1,1,611,1,1,1,1,1,1,1,1,1,
Chart_5, 1,1,1,1,1,1,1,1,468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2269,1,1,1,1,1,1,1,1,1,468,1,1,1,1,1,-,-,1,1,
Chart_6, 1,2,2,2,2,2,2,1,67,2,2,1,2,2,2,2,2,2,2,1,2,1,1,20660,1,2,2,2,2,2,2,2,1,67,2,2,2,2,1,2,2,2,2,
Chart_7, 1,1,1,1,1,1,1,1,4681,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3050,1,1,1,1,1,1,1,1,1,2649,1,1,1,1,1,-,-,1,1,
Chart_8, -,-,-,-,-,-,3482,-,3908,-,-,-,3482,3482,-,-,-,-,3482,-,-,-,-,3482,-,-,-,-,-,3482,3482,-,-,3908,3482,3482,-,-,-,-,-,-,-,
Chart_9, 1,1,1,1,1,1,1,1,3500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1275,1,1,1,1,1,1,1,1,1,2649,1,1,1,1,1,-,-,1,1,
Chart_10, 1,1,1,1,1,1,1,1,4906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,2464,1,1,1,1,1,1,1,1,1,
Chart_11, 1,1,1,1,1,1,2675,1,283,1,-,1,2675,2675,1,1,1,1,2675,1,1,1,1,2675,1,1,1,1,1,2675,1,1,1,283,2675,2675,1,1,1,-,-,1,1,
