Proj,Ample,Anderberg,ArithmeticMean,Barinel,Dice,DStar,Euclid,Fagge,Fleiss,GeometricMean,Goodman,Gp13,Hamann,Hamming,HarmonicMean,Jaccard,Kulczynski1,Kulczynski2,M1,M2,McCon,Minus,Muse,Naish1,Naish2,Ochiai,Ochiai2,Overlap,Qe,RogersTanimoto,Rogot1,Rogot2,RussellRao,Scott,SimpleMatching,Sokal,SorensenDice,Tarantula,Wong1,Wong2,Wong3,Zoltar,null,
Chart_1, 28,28,28,28,28,28,22181,28,2875,28,-,28,22181,22181,28,28,28,28,22181,28,28,28,28,-,28,28,28,28,28,22181,28,28,28,2876,22181,22181,28,28,28,-,-,28,28,
Chart_2, 76,50,50,48,50,50,15888,76,5297,51,-,76,15888,15888,76,50,50,76,15888,76,-,76,76,16439,76,51,50,51,48,15888,50,76,76,4634,15888,15888,50,48,76,-,-,76,51,
Chart_3, 7,7,7,7,7,7,87,7,5488,7,-,7,87,87,7,7,7,7,87,7,7,7,7,-,7,7,7,7,7,87,7,7,7,3470,87,87,7,7,7,-,-,7,7,
Chart_4, 13,57,57,115,57,57,22131,13,920,49,-,13,22131,22131,49,57,57,49,22131,13,49,13,13,-,13,49,98,148,115,22131,57,49,13,880,22131,22131,57,115,13,-,13,19,49,
Chart_5, 7,7,7,7,7,7,8484,7,5387,7,-,7,8484,8484,7,7,7,7,8484,7,7,7,7,-,7,7,7,7,7,8484,7,7,7,3993,8484,8484,7,7,7,-,-,7,7,
Chart_6, 5,81,68,81,81,81,21902,5,67,49,-,5,21902,21902,17,81,81,15,21902,5,15,5,5,-,5,49,81,49,81,21902,21727,17,5,67,21902,21902,81,81,5,-,-,15,49,
Chart_7, 28,28,28,28,28,28,15994,28,4698,28,-,28,15994,15994,28,28,28,28,15994,28,28,28,28,-,28,28,28,28,28,15994,28,28,28,4324,15994,15994,28,28,28,-,-,28,28,
Chart_8, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_9, 3,3,3,3,3,3,3,3,4927,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,3,3,3,3,3,3,3,3,3,2651,3,3,3,3,3,-,-,3,3,
Chart_10, 1,1,1,1,1,1,1,1,4906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,2464,1,1,1,1,1,1,1,1,1,
Chart_11, 15,15,15,15,15,15,16586,15,4434,15,-,15,16586,16586,15,15,15,15,16586,15,15,15,15,-,15,15,15,15,15,16586,15,15,15,3966,16586,16586,15,15,15,-,-,15,15,
Chart_12, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_13, 17,17,17,17,17,17,17,17,4924,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-,17,17,17,17,17,17,17,17,17,2484,17,17,17,17,17,17,17,17,17,
Chart_14, 120,1,1,1,1,1,1,110,4495,1,-,110,1,1,1,1,1,1,1,110,1,22,110,-,110,1,1,1,1,1,1,1,110,3014,1,1,1,1,110,1,1,1,1,
Chart_15, 26,26,26,26,26,26,126,26,4891,26,-,26,126,126,26,26,26,26,126,26,26,26,26,8102,26,26,26,26,26,126,26,26,26,3464,126,126,26,26,26,-,-,26,26,
Chart_16, 78,12,12,2,12,12,2,12,3863,7,-,12,2,2,7,12,12,7,2,12,7,12,12,-,12,8,7,8,2,2,12,7,12,3171,2,2,12,2,12,2,7,7,8,
Chart_17, 2,2,2,2,2,2,102,2,4792,2,-,2,102,102,2,2,2,2,102,2,2,2,2,-,2,2,2,2,2,102,2,2,2,3292,102,102,2,2,2,-,-,2,2,
Chart_18, 6,6,6,6,6,6,6,6,3573,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,6,6,6,6,6,6,6,6,6,2095,6,6,6,6,6,6,6,6,6,
Chart_19, 243,5,5,5,5,5,5,243,4704,5,5,243,5,5,5,5,5,5,5,243,5,243,243,-,243,5,5,5,5,5,5,5,243,2616,5,5,5,5,243,5,5,5,5,
Chart_20, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_21, 2,2,2,2,2,2,2,2,4567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,2,2,2,2101,2,2,2,2,2,2,2,2,2,
Chart_22, 40,1,1,1,1,1,1,38,3587,1,-,38,1,1,1,1,1,1,1,38,1,38,38,-,38,1,1,14,1,1,1,1,38,2412,1,1,1,1,38,1,35,1,1,
Chart_23, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chart_24, 2,2,2,2,2,2,2,2,4792,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,2,2,2,2088,2,2,2,2,2,2,2,2,2,
Chart_25, 1993,47,45,18,47,47,40,1993,4066,45,47,1993,40,40,45,47,47,47,40,1993,47,1993,1993,-,1993,47,40,18,18,40,45,45,1993,2414,40,40,47,18,1993,40,1701,47,47,
Chart_26, 132,132,132,488,132,132,132,132,1644,132,132,132,132,132,132,132,132,132,132,132,132,132,132,-,132,132,132,131,488,132,132,132,132,859,132,132,132,488,132,132,132,359,132,
Lang_1, 1809,-,-,-,-,-,6828,-,-,-,-,-,6828,6828,-,-,-,-,6828,-,-,-,-,6623,-,-,-,-,-,6828,7076,7078,-,-,6828,6828,-,-,-,-,-,-,-,
Lang_2, 456,333,329,49,333,333,55,342,-,119,-,342,55,55,49,333,333,49,55,342,49,74,342,-,342,128,100,128,49,55,330,49,342,-,55,55,333,49,342,55,209,49,128,
Lang_3, 3177,-,-,-,-,-,6211,-,-,-,-,-,6211,6211,-,-,-,-,6211,-,-,-,-,6027,-,-,-,-,-,6211,6480,6482,-,-,6211,6211,-,-,-,-,-,-,-,
Lang_4, 974,-,-,-,-,-,9117,-,-,-,-,-,9117,9117,-,-,-,-,9117,-,-,-,-,8799,-,-,-,-,-,9117,9252,9255,-,-,9117,9117,-,-,-,-,-,-,-,
Lang_5, 443,322,316,38,322,322,44,331,-,108,-,331,44,44,39,322,322,39,44,331,39,66,331,3976,331,117,89,117,38,44,319,39,331,-,44,44,322,38,331,44,198,38,117,
Lang_6, 960,-,-,-,-,-,9041,-,-,-,-,-,9041,9041,-,-,-,-,9041,-,-,-,-,8743,-,-,-,-,-,9041,9177,9180,-,-,9041,9041,-,-,-,-,-,-,-,
Lang_7, 3831,-,-,-,-,-,5260,-,-,-,-,-,5260,5260,-,-,-,-,5260,-,-,-,-,5109,-,-,-,-,-,5260,5543,5545,-,-,5260,5260,-,-,-,-,-,-,-,
Lang_8, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_9, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_10, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_11, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_12, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_13, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_14, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_15, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_16, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_17, 814,442,440,440,442,442,4977,442,234,440,-,442,4977,4977,442,442,442,442,4977,442,-,440,442,4728,442,442,440,442,440,4977,440,442,442,238,4977,4977,442,440,442,-,-,442,442,
Lang_18, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_19, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_20, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_21, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_22, 1612,-,-,-,-,-,6767,-,-,-,-,-,6767,6767,-,-,-,-,6767,-,-,-,-,6004,-,-,-,-,-,6767,6911,6915,-,-,6767,6767,-,-,-,-,-,-,-,
Lang_23, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_24, 5935,-,-,-,-,-,1770,-,-,-,-,-,1770,1770,-,-,-,-,1770,-,-,-,-,1278,-,-,-,-,-,1770,2178,2186,-,-,1770,1770,-,-,-,-,-,-,-,
Lang_25, 1475,564,523,368,564,564,368,564,-,470,-,564,368,368,369,564,564,369,368,564,-,369,523,-,564,491,489,491,368,368,558,369,564,-,368,368,564,368,564,-,-,475,491,
Lang_26, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_27, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_28, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_29, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_30, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_31, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_32, 2383,-,-,-,-,-,5359,-,-,-,-,-,5359,5359,-,-,-,-,5359,-,-,-,-,4754,-,-,-,-,-,5359,5588,5595,-,-,5359,5359,-,-,-,-,-,-,-,
Lang_33, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_34, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_35, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_36, 2137,888,786,628,888,888,609,888,-,767,-,888,609,609,638,888,888,646,609,888,-,632,786,1220,888,816,814,816,628,609,866,638,888,-,609,609,888,628,888,-,-,803,816,
Lang_37, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_38, -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lang_39, 1484,-,-,-,-,-,5850,-,-,-,-,-,5850,5850,-,-,-,-,5850,-,-,-,-,4980,-,-,-,-,-,5850,6081,6091,-,-,5850,5850,-,-,-,-,-,-,-,
