Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula;;;Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula
Chart_1;189;186;28;194;24;309;189;;;Chart_26;451;266;237;321;241;321;451
Chart_2;61;31;8;13;31;31;61;;;Lang_65;1;1;1;1;1;1;1
Chart_3;1;1;1;1;1;1;1;;;Math_106;1;1;1;1;1;1;1
Chart_4;108;2;2;2;2;1;108;;;Closure_133;2;2;2;2;2;2;2
Chart_5;1;12;10;11;12;7;1;;;Mockito_38;44;3;44;1;3;1;44
Chart_6;1;24;25;25;24;11;1;;;Time_27;3;3;3;3;3;3;3
Chart_7;1;1;1;1;1;1;1;;;;;;;;;;
Chart_8;1;1;1;1;1;1;1;;;Top-1;2;2;2;3;2;3;2
Chart_9;1;1;1;1;1;1;1;;;Top-10;4;5;4;5;5;5;4
Chart_10;1;1;1;1;1;1;1;;;Top-50;5;5;5;5;5;5;5
Chart_11;1;1;1;1;1;1;1;;;Top-100;5;5;5;5;5;5;5
Chart_12;23;1087;1087;905;801;1087;23;;;Top-200;5;5;5;5;5;5;5
Chart_13;5;5;5;5;5;5;5;;;Any;6;6;6;6;6;6;6
Chart_14;59;365;93;360;38;321;59;;;;;;;;;;
Chart_15;1184;1813;2194;2103;2143;1813;1149;;;;;;;;;;
Chart_16;4;1;1;1;1;6;4;;;;;;;;;;
Chart_17;11;11;11;11;11;15;11;;;;;;;;;;
Chart_18;1;1;1;1;1;1;1;;;;;;;;;;
Chart_19;59;346;73;311;37;349;59;;;;;;;;;;
Chart_20;50;50;52;58;62;65;50;;;;;;;;;;
Chart_21;2;1;2;1;1;1;2;;;;;;;;;;
Chart_22;5;1;1;1;1;18;5;;;;;;;;;;
Chart_23;62;35;62;62;62;35;62;;;;;;;;;;
Chart_24;1;1;1;1;1;1;1;;;;;;;;;;
Chart_25;1512;1325;1325;1500;1325;1325;1512;;;;;;;;;;
Chart_26;451;266;237;321;241;321;451;;;;;;;;;;
Lang_1;1;1;1;1;1;1;1;;;;;;;;;;
Lang_2;1;1;1;1;1;1;1;;;;;;;;;;
Lang_3;1;1;1;1;1;1;1;;;;;;;;;;
Lang_4;1;1;1;1;1;1;1;;;;;;;;;;
Lang_5;1;1;1;1;1;1;1;;;;;;;;;;
Lang_6;54;54;54;54;54;54;54;;;;;;;;;;
Lang_7;1;1;1;1;1;1;1;;;;;;;;;;
Lang_8;13;13;13;13;13;13;13;;;;;;;;;;
Lang_9;1;1;1;1;1;1;1;;;;;;;;;;
Lang_10;1;1;1;6;1;6;1;;;;;;;;;;
Lang_11;1;1;1;1;1;1;1;;;;;;;;;;
Lang_12;1;1;1;1;1;1;1;;;;;;;;;;
Lang_13;1;1;1;1;1;1;1;;;;;;;;;;
Lang_14;1;1;1;1;1;1;1;;;;;;;;;;
Lang_15;63;1;1;1;1;1;63;;;;;;;;;;
Lang_16;1;1;1;1;1;1;1;;;;;;;;;;
Lang_17;13;13;13;13;13;13;13;;;;;;;;;;
Lang_18;1;1;1;1;1;1;1;;;;;;;;;;
Lang_19;1;1;1;1;1;1;1;;;;;;;;;;
Lang_20;1;1;1;1;1;1;1;;;;;;;;;;
Lang_21;1;1;1;1;1;1;1;;;;;;;;;;
Lang_22;1;1;1;1;1;1;1;;;;;;;;;;
Lang_23;1;1;1;1;1;1;1;;;;;;;;;;
Lang_24;1;1;1;1;1;1;1;;;;;;;;;;
Lang_25;1;1;1;1;1;1;1;;;;;;;;;;
Lang_26;1;1;1;1;1;1;1;;;;;;;;;;
Lang_27;1;1;1;1;1;1;1;;;;;;;;;;
Lang_28;1;1;1;1;1;1;1;;;;;;;;;;
Lang_29;1;1;1;1;1;1;1;;;;;;;;;;
Lang_30;1;1;1;3;1;1;1;;;;;;;;;;
Lang_31;1;1;1;1;1;1;1;;;;;;;;;;
Lang_32;1;1;1;1;1;1;1;;;;;;;;;;
Lang_33;1;1;1;1;1;1;1;;;;;;;;;;
Lang_34;8;17;7;36;7;1;8;;;;;;;;;;
Lang_35;1;1;1;1;1;1;1;;;;;;;;;;
Lang_36;1;1;1;1;1;1;1;;;;;;;;;;
Lang_37;1;1;1;1;1;1;1;;;;;;;;;;
Lang_38;1;1;1;1;1;1;1;;;;;;;;;;
Lang_39;1;1;1;1;1;1;1;;;;;;;;;;
Lang_40;1;1;1;1;1;1;1;;;;;;;;;;
Lang_41;1;1;1;1;1;1;1;;;;;;;;;;
Lang_42;10;10;10;10;10;10;10;;;;;;;;;;
Lang_43;1;1;1;1;1;1;1;;;;;;;;;;
Lang_44;1;1;1;1;1;1;1;;;;;;;;;;
Lang_45;1;1;1;1;1;1;1;;;;;;;;;;
Lang_46;1;1;1;1;1;1;1;;;;;;;;;;
Lang_47;1;1;1;1;1;1;1;;;;;;;;;;
Lang_48;1;1;1;1;1;1;1;;;;;;;;;;
Lang_49;1;1;1;1;1;1;1;;;;;;;;;;
Lang_50;1;1;1;1;1;1;1;;;;;;;;;;
Lang_51;1;1;1;1;1;1;1;;;;;;;;;;
Lang_52;1;1;1;1;1;1;1;;;;;;;;;;
Lang_53;1;1;1;1;1;1;1;;;;;;;;;;
Lang_54;1;1;1;1;1;1;1;;;;;;;;;;
Lang_55;1;1;1;1;1;1;1;;;;;;;;;;
Lang_56;25;25;25;25;25;25;25;;;;;;;;;;
Lang_57;1;1;1;1;1;1;1;;;;;;;;;;
Lang_58;1;1;1;1;1;1;1;;;;;;;;;;
Lang_59;1;1;1;1;1;1;1;;;;;;;;;;
Lang_60;1;1;1;1;1;1;1;;;;;;;;;;
Lang_61;1;1;1;1;1;1;1;;;;;;;;;;
Lang_62;1;1;1;1;1;1;1;;;;;;;;;;
Lang_63;1;1;1;1;1;1;1;;;;;;;;;;
Lang_64;1;1;1;1;1;1;1;;;;;;;;;;
Lang_65;1;1;1;1;1;1;1;;;;;;;;;;
Math_1;7;12;9;27;12;27;7;;;;;;;;;;
Math_2;44;44;44;44;44;44;44;;;;;;;;;;
Math_3;1;1;1;1;1;1;1;;;;;;;;;;
Math_4;1;1;1;1;1;42;1;;;;;;;;;;
Math_5;1;1;1;1;1;1;1;;;;;;;;;;
Math_6;5;1;1;1;1;1;5;;;;;;;;;;
Math_7;14;14;14;14;14;14;14;;;;;;;;;;
Math_8;1;1;1;1;1;1;1;;;;;;;;;;
Math_9;1;1;1;1;1;1;1;;;;;;;;;;
Math_10;5;5;5;5;5;5;5;;;;;;;;;;
Math_11;27;27;27;27;27;27;27;;;;;;;;;;
Math_12;50;49;50;35;49;35;50;;;;;;;;;;
Math_13;36;36;36;36;36;36;36;;;;;;;;;;
Math_14;93;93;93;93;93;93;93;;;;;;;;;;
Math_15;1;1;1;1;1;1;1;;;;;;;;;;
Math_16;1;1;1;1;1;1;1;;;;;;;;;;
Math_17;1;1;1;1;1;1;1;;;;;;;;;;
Math_18;2;2;2;2;2;2;2;;;;;;;;;;
Math_19;33;33;33;33;33;33;33;;;;;;;;;;
Math_20;1;1;1;1;1;1;1;;;;;;;;;;
Math_21;1;38;38;38;38;38;1;;;;;;;;;;
Math_22;1;1;1;1;1;53;1;;;;;;;;;;
Math_23;37;37;37;37;37;37;37;;;;;;;;;;
Math_24;43;43;43;43;43;43;43;;;;;;;;;;
Math_25;85;-;-;128;-;128;-;;;;;;;;;;
Math_26;3;3;3;3;3;3;3;;;;;;;;;;
Math_27;1;1;1;1;1;1;1;;;;;;;;;;
Math_28;13;13;13;13;13;13;13;;;;;;;;;;
Math_29;1;1;1;17;1;17;1;;;;;;;;;;
Math_30;142;142;142;142;142;142;142;;;;;;;;;;
Math_31;13;11;11;11;11;11;13;;;;;;;;;;
Math_32;5;5;5;5;5;5;5;;;;;;;;;;
Math_33;2;2;2;2;2;2;2;;;;;;;;;;
Math_34;1;1;1;1;1;1;1;;;;;;;;;;
Math_35;2;1;1;2;1;1;2;;;;;;;;;;
Math_36;1;1;1;1;1;1;1;;;;;;;;;;
Math_37;1;3;3;195;3;121;1;;;;;;;;;;
Math_38;1;1;1;1;1;1;1;;;;;;;;;;
Math_39;42;42;42;42;42;42;42;;;;;;;;;;
Math_40;24;24;24;24;24;24;24;;;;;;;;;;
Math_41;1;1;1;1;1;1;1;;;;;;;;;;
Math_42;3;3;3;3;3;3;3;;;;;;;;;;
Math_43;1;1;1;1;1;1;1;;;;;;;;;;
Math_44;11;11;11;11;11;11;11;;;;;;;;;;
Math_45;1;1;1;1;1;1;1;;;;;;;;;;
Math_46;1;1;1;1;1;1;1;;;;;;;;;;
Math_47;1;1;1;1;1;1;1;;;;;;;;;;
Math_48;303;303;303;303;303;303;303;;;;;;;;;;
Math_49;5;5;5;5;5;5;5;;;;;;;;;;
Math_50;1;1;1;1;1;1;1;;;;;;;;;;
Math_51;273;273;273;273;273;273;273;;;;;;;;;;
Math_52;2;2;2;2;2;2;2;;;;;;;;;;
Math_53;1;1;1;1;1;1;1;;;;;;;;;;
Math_54;77;77;77;77;77;77;77;;;;;;;;;;
Math_55;1;1;1;1;1;1;1;;;;;;;;;;
Math_56;9;9;9;9;9;9;9;;;;;;;;;;
Math_57;1;1;1;1;1;1;1;;;;;;;;;;
Math_58;223;223;223;223;223;223;223;;;;;;;;;;
Math_59;1;1;1;1;1;1;1;;;;;;;;;;
Math_60;283;283;283;283;283;283;283;;;;;;;;;;
Math_61;1;1;1;1;1;1;1;;;;;;;;;;
Math_62;267;267;267;248;267;267;267;;;;;;;;;;
Math_63;1;1;1;1;1;1;1;;;;;;;;;;
Math_64;1;1;1;1;1;1;1;;;;;;;;;;
Math_65;12;12;12;12;12;12;12;;;;;;;;;;
Math_66;250;3;47;91;47;1;253;;;;;;;;;;
Math_67;7;7;7;7;7;7;7;;;;;;;;;;
Math_68;1;1;1;1;1;1;1;;;;;;;;;;
Math_69;1;1;1;1;1;1;1;;;;;;;;;;
Math_70;1;1;1;1;1;1;1;;;;;;;;;;
Math_71;1;1;1;22;1;278;1;;;;;;;;;;
Math_72;1;1;1;1;1;1;1;;;;;;;;;;
Math_73;1;1;1;1;1;1;1;;;;;;;;;;
Math_74;758;758;758;758;758;758;758;;;;;;;;;;
Math_75;1;1;1;1;1;1;1;;;;;;;;;;
Math_76;1;1;1;1;1;1;1;;;;;;;;;;
Math_77;13;13;13;13;13;15;13;;;;;;;;;;
Math_78;67;67;67;67;67;67;67;;;;;;;;;;
Math_79;29;29;29;29;29;29;29;;;;;;;;;;
Math_80;1;1;1;1;1;1;1;;;;;;;;;;
Math_81;1;1;1;1;1;1;1;;;;;;;;;;
Math_82;1;1;1;1;1;1;1;;;;;;;;;;
Math_83;1;1;1;1;1;1;1;;;;;;;;;;
Math_84;14;1;5;14;5;1;14;;;;;;;;;;
Math_85;11;11;11;11;11;11;11;;;;;;;;;;
