Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula;;;Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula
Chart_1;189;245;28;446;24;729;189;;;Chart_26;16786;-;-;-;14795;-;14795
Chart_2;94;217;217;225;237;217;94;;;Lang_65;6;6;6;6;6;6;6
Chart_3;1;1;1;1;1;1;1;;;Math_106;1;1;1;1;1;1;1
Chart_4;108;2;2;2;2;6;108;;;Closure_133;130;130;130;130;130;130;130
Chart_5;2;66;66;48;66;66;2;;;Mockito_38;44;3;44;1;3;1;44
Chart_6;229;187;214;337;222;94;229;;;Time_27;119;119;119;119;119;119;119
Chart_7;2;2;2;2;2;2;2;;;;;;;;;;
Chart_8;1;1;1;1;1;1;1;;;Top-1;1;1;1;2;1;2;1
Chart_9;2;2;2;2;2;2;2;;;Top-10;2;3;2;3;3;3;2
Chart_10;3;3;3;6;3;3;6;;;Top-50;3;3;3;3;3;3;3
Chart_11;1;25;1;20;24;25;1;;;Top-100;3;3;3;3;3;3;3
Chart_12;751;1100;1100;940;1092;1100;751;;;Top-200;5;5;5;5;5;5;5
Chart_13;35;35;35;35;35;35;35;;;Any;6;5;5;5;6;5;6
Chart_14;77;1563;1555;1230;996;1563;77;;;;;;;;;;
Chart_15;9309;-;-;-;8444;-;8444;;;;;;;;;;
Chart_16;4;1;1;1;1;19;4;;;;;;;;;;
Chart_17;12;14;12;12;12;16;12;;;;;;;;;;
Chart_18;1;1;1;1;1;1;1;;;;;;;;;;
Chart_19;59;1251;1244;966;833;1251;59;;;;;;;;;;
Chart_20;59;50;52;58;62;65;59;;;;;;;;;;
Chart_21;2;34;38;16;34;25;2;;;;;;;;;;
Chart_22;24;63;54;10;53;63;24;;;;;;;;;;
Chart_23; -;-;-;-;-;-;-;;;;;;;;;;
Chart_24;1;1;1;1;1;1;1;;;;;;;;;;
Chart_25;3817;-;-;-;3668;-;3668;;;;;;;;;;
Chart_26;16786;-;-;-;14795;-;14795;;;;;;;;;;
Lang_1;1;1;1;1;1;1;1;;;;;;;;;;
Lang_2;1;1;1;1;1;1;1;;;;;;;;;;
Lang_3;1;1;1;1;1;1;1;;;;;;;;;;
Lang_4;1;1;1;1;1;1;1;;;;;;;;;;
Lang_5;1;1;1;1;1;1;1;;;;;;;;;;
Lang_6;73;73;73;73;73;73;73;;;;;;;;;;
Lang_7;1;1;1;1;1;1;1;;;;;;;;;;
Lang_8; -;-;-;-;-;-;-;;;;;;;;;;
Lang_9;36;33;36;35;35;21;36;;;;;;;;;;
Lang_10;78;64;67;60;64;60;78;;;;;;;;;;
Lang_11;1;1;1;1;1;1;1;;;;;;;;;;
Lang_12;1;1;1;1;1;1;1;;;;;;;;;;
Lang_13; -;-;-;-;-;-;-;;;;;;;;;;
